Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temperature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Vegetable,Tomatillo Purple,25,5,20,0.4,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mexico"",""Southwestern United States"",""Central America""]","[""Late spring"",""Summer"",""Early fall""]",40,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,48,24,1,tomatillo purple
Legume,Tuinboon Eleonora,18,5,15,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Autumn""]",40,30,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,2,tuinboon eleonora
Legume,Tuinboon Ratio,15,5,10,0.2,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""New Zealand""]","[""Spring"",""Early Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,48,12,2,tuinboon ratio
Vegetable,Tuinkers,25,5,20,0.4,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Autumn""]",30,35,20,24,"[""NPK fertilizer"",""Compost""]",2,12,12,1,tuinkers
Leafy vegetable,Tuinmelde Rode,20,5,18,0.4,3,10000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate climate""]","[""Spring"",""Summer"",""Autumn""]",20,35,20,24,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,24,12,0.5,tuinmelde rode
Flowering plant,Turkse Drakenkop,20 °C,5 mm,15 °C,0.3 m³/m³,3 mm/day,8 hours,60%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Start of summer"",""Late spring"",""Early autumn""]",40 km/h,35 °C,20 mm,12 hours,"[""Organic compost"",""Slow-release granular fertilizer""]",4 weeks,12 inches,12 inches,0.5 inches,turkse drakenkop
Flowering Plant,Ui Stuttgart Giant,20,5,18,0.4,3,600,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,48,24,1,ui stuttgart giant
Vegetable,Venkel Perfection,18,5,15,0.4,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,0.5,venkel perfection
Vegetable,Venkel Wilde,20,5,15,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",30,35,10,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,36,12,0.5,venkel wilde
Fruit,Watermeloen Sugar Baby,25,5,20,0.3,3,600,70,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start summer"",""Warm season""]",30,40,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,36,1,watermeloen sugar baby
Leafy vegetable,Wilde Rucola,20.3,5.2,18.5,0.25,3.8,23400,65,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Mediterranean region"",""North America"",""Europe""]","[""Spring"",""Fall""]",45,35,30,24,"[""Nitrogen-based fertilizer"",""Compost""]",3,18,12,0.5,wilde rucola
Winter Vegetable,Winterkers,-5,5,2,0.6,3,18000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Hemisphere"",""Temperate Climate""]","[""Late Autumn"",""Winter"",""Early Spring""]",40,25,20,48,"[""Organic Compost"",""Nitrogen-based Fertilizer""]",2,24,12,0.5,winterkers
Leafy Vegetable,Andijvie Bubikpof 2,18,5,15,0.4,3,3000,70,"[""loamy soil"",""sandy soil""]","[""United States"",""Canada"",""Europe""]","[""Spring"",""Fall""]",40,35,20,48,"[""nitrogen-based fertilizer"",""potassium-based fertilizer""]",4,12,12,0.5,andijvie bubikpof 2
Leafy vegetable,Andijvie Frisée de Namur,18,2,15,0.3,2,3600,75,"[""Loamy soil"",""Sandy soil""]","[""Belgium"",""Netherlands""]","[""Spring"",""Fall""]",30,30,10,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,16,12,0.5,andijvie frisée de namur
Vegetable,Chinese Kool Granaat,16,3,18,0.3,4,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern China"",""Korea"",""Japan""]","[""Spring"",""Fall""]",50,30,20,48,"[""NPK"",""Compost""]",2,12,8,0.5,chinese kool granaat
Vegetable,Chinese Kool Sélection Sativa,20,5,18,0.4,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""China"",""Japan"",""South Korea""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,6,0.5,chinese kool sélection sativa
Flowering plant,Damastbloem,20,5,15,0.3,4,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,10,48,"[""NPK"",""Compost""]",4,24,12,0.5,damastbloem
Perennial,Achillea millefolium,15,2,18,0.4,4,3600,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Temperate regions"",""Grasslands"",""Mountainous areas""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.2,duizendblad
Leafy Vegetable,Kropsla Winterwonder,10,5,8,0.3,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America"",""Asia""]","[""Late Summer"",""Fall"",""Winter""]",30,35,20,48,"[""NPK"",""Compost""]",2,12,6,0.5,kropsla winterwonder
Vegetable,Rammenas Ronde Zwarte Winter,15,5,12,0.3,3,3000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Late Summer"",""Autumn"",""Winter""]",40,35,20,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,20,12,1,rammenas ronde zwarte winter
Leafy vegetable,Savoy cabbage,15,3,12,0.4,2,24000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Northern Europe"",""North America"",""China""]","[""Spring"",""Fall""]",30,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,18,144,0.5,savooiekool
Perennial,Stokroos Zwarte,20,5,15,0.4,3,3600,70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,10,48,"[""10-10-10"",""5-10-5""]",4,60,24,0.25,stokroos zwarte
Leafy Vegetable,Veldsla Elan,10-15,2-5,10-15,0.3-0.5,3-5,18000-20000,60-70,"[""Well-drained sandy soil"",""Loamy soil""]","[""Europe"",""North America""]","[""Spring"",""Autumn""]",30,35,20,12-24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,6-8,4-6,0.5-1,veldsla elan
Leafy vegetable,Veldsla Vit,18,5,15,0.4,3,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Autumn"",""Winter""]",40,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,8,12,0.5,veldsla vit
Leafy vegetable,Veldsla Volhart 2,18,5,15,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Autumn""]",30,30,20,48,"[""Nitrogen-based"",""Potassium-based"",""Phosphorous-based""]",2,10,12,0.5,veldsla volhart 2
Leafy vegetable,Winterpostelein,10,2,8,0.4,1,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America""]","[""Late summer"",""Autumn"",""Winter""]",25,35,50,48,"[""Compost"",""Organic liquid fertilizer""]",4,8,12,0.2,winterpostelein
Legume,Winterwikke,12,5,10,0.25,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Late summer"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,winterwikke
Legume,Zomerwikke,20,5,15,0.3,3,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Australia""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,zomerwikke
Vegetable,Aubergine Obsidien,25,5,20,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""South Asia"",""South America""]","[""Start summer"",""Summer"",""Fall""]",40,35,50,48,"[""NPK"",""Compost"",""Organic Fertilizer""]",2,36,24,0.5,aubergine obsidien
Vegetable,Aubergine Rotonda Bianca Sfumata di Rosa,24,5,20,0.25,3,600,60,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Mediterranean region"",""Southern Europe"",""Middle East""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,24,0.5,aubergine rotonda bianca sfumata di rosa
Vegetable,Aubergine Slim Jim,24,5,18,0.25,3,28800,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",2,36,24,0.5,aubergine slim jim
Vegetable,Aubergine Van Barbentane,24,3,20,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southwestern United States"",""Northern Africa""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,36,24,0.5,aubergine van barbentane
Leafy Vegetable,Bindsla Queue de Truite,18,2,15,0.3,4,18000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Fall""]",40,30,10,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,16,0.5,bindsla queue de truite
Fruit,Cherrytomaat Gardener's Delight,20,5,18,0.3,4,5000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Start summer"",""Autumn""]",30,35,30,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,48,12,1,cherrytomaat gardener's delight
Vegetable,Paprika Chocolat,25,5,20,0.4,3,3600,60,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Southwestern United States""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,paprika chocolat
Vegetable,Paprika Corno di Toro Rosso,25,5,20,0.3,4,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,paprika corno di toro rosso
Vegetable,Paprika Quadrato d'Asti Giallo,18,3,20,0.4,4,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",40,35,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.2,paprika quadrato d'asti giallo
Vegetable,Paprika Rosso,20,5,18,0.3,2.5,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,20,12,1,paprika rosso
Vegetable,Paprika Tequila Sunrise,25,5,20,0.3,3,3600,60,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Mexico"",""United States"",""Spain""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,24,0.5,paprika tequila sunrise
Fruit,Tomaat Andine Cornue,20,5,18,0.4,4,3000,60,"[""Loam"",""Sandy loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,60,36,1,tomaat andine cornue
Fruit,Tomaat Black Cherry,22,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Start of summer"",""Spring"",""Autumn""]",25,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,60,24,1,tomaat black cherry
Fruit vegetable,Tomaat Blush,23,5,18,0.3,4,6000,70,"[""Loamy"",""Sandy""]","[""Mediterranean region"",""Central Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",3,60,12x12,0.5,tomaat blush
Vegetable,Tomaat Brandywine,22,5,18,0.3,3,600,60,"[""Loam"",""Sandy loam"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Start summer"",""Early fall""]",30,35,30,48,"[""NPK fertilizers"",""Compost""]",3,72,36,0.5,tomaat brandywine
Vegetable,Tomaat Candy Sweet Icicle,20,5,18,0.4,3,3600,60,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Start summer"",""Spring"",""Fall""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,60,24,1,tomaat candy sweet icicle
Vegetable,Tomaat Corma,25,5,20,0.3,4,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Start summer"",""Spring"",""Autumn""]",40,35,15,24,"[""NPK"",""Organic compost"",""Bone meal""]",2,60,24,0.5,tomaat corma
Fruit,Tomaat Cuor di Bue (Cœur de Bœuf),20,5,18,0.3,3,6000,70,"[""Loamy"",""Sandy""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",2,60,24,1,tomaat cuor di bue (cœur de bœuf)
Vegetable,Tomaat Gele 'Saint Vincent',22,5,18,0.3,4,3600,60,"[""Loam"",""Sandy Loam"",""Silty Loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""NPK fertilizer""]",2,60,24,0.5,"tomaat gele ""saint vincent"""
Tomato,Téton de Vénus,20,5,18,0.3,4,24000,50,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Start summer"",""Late spring"",""Early autumn""]",30,35,10,48,"[""Nitrogen-based"",""Potassium-based""]",2,60,24,1,"tomaat gele ""téton de vénus"""
Fruit,Tomaat Golden Currant,20,5,18,0.35,4,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean climate regions"",""Greenhouses""]","[""Start summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,60,24,0.5,tomaat golden currant
Vegetable,Tomato Green Doctor Frosted,20,5,18,0.3,4,6000,60,"[""loam"",""sandy"",""clay""]","[""Mediterranean region"",""Northern Europe"",""United States""]","[""Start summer"",""Spring"",""Autumn""]",30,35,50,48,"[""NPK"",""Compost"",""Bone Meal""]",2,60,24,6,tomaat green doctor frosted
Fruit,Tomaat Green Zebra,20,5,18,0.2,2,6000,60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,72,24,1,tomaat green zebra
Vegetable,Tomaat La Carotina,25,5,20,0.3,3,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean regions"",""Temperate climates""]","[""Start of summer"",""Spring"",""Autumn""]",40,35,20,24,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,60,24,2,tomaat la carotina
Vegetable,Tomaat Merveille des Marchés,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,24,0.5,tomaat merveille des marchés
Tomato,Mountain Magic F6,20,5,18,0.3,3,12000,60,"[""loam"",""sandy loam"",""clay loam""]","[""temperate regions"",""Mediterranean climate"",""subtropical regions""]","[""Start summer"",""spring"",""autumn""]",30,35,50,24,"[""NPK"",""compost"",""bone meal""]",2,60,24,1,tomaat mountain magic f6
Vegetable,Tomaat Noire de Crimée,20,5,15,0.3,3,3000,60,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,0.5,tomaat noire de crimée
Vegetable,Tomaat Poire Jaune,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,1,tomaat poire jaune
Tomato,Tomaat Précoce de Quimper,20,5,18,0.3,4,3600,60,"[""Loamy"",""Sandy"",""Clay""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,60,24,0.5,tomaat précoce de quimper
Vegetable,Tomaat Purple Russian,20,5,18,0.2,3,6000,70,"[""Loamy"",""Sandy loam""]","[""Mediterranean"",""Subtropical""]","[""Start of summer"",""Late spring""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,60,12,1,tomaat purple russian
Vegetable,Tomaat Rose de Berne,20,5,15,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Temperate climates""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,60,24,0.5,tomaat rose de berne
Tomato,Rotkäppchen,22,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean regions"",""Greenhouse cultivation""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""NPK fertilizer""]",2,60,18,2,tomaat rotkäppchen
Tomato,Tomaat Saint-Pierre,20-25,0.5-1.0,15-20,0.2-0.4,3-5,6-8,60-80,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Summer""]",40,35,50,24-48,"[""NPK 10-10-10"",""Organic compost""]",4-6,60-80,24x24,0.5-1.0,tomaat saint-pierre
Tomato,Tomaat Triomphe de Liège,18-25,2-4,15-20,0.3-0.4,4-6,6-8,60-80,"[""Loamy"",""Sandy""]","[""Belgium"",""Netherlands"",""France""]","[""Start summer"",""Autumn""]",30,30,10,48,"[""NPK 10-10-10"",""Organic compost""]",2-3,60,24,0.5,tomaat triomphe de liège
Vegetable,Tomaat Verte de Huy,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,60,24,1,tomaat verte de huy
Vegetable,Tomaat Yellow Giant Belgium,25,5,20,0.3,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Belgium"",""Netherlands"",""France""]","[""Start of summer"",""Spring"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,72,36,1,tomaat yellow giant belgium
Fruit,Tomaat Zuckertraube,18-25,2-5,15-20,0.3-0.5,4-6,6-8,60-80,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Fish emulsion""]",4-6,72,24,0.5,tomaat zuckertraube
Vegetable,Tomaat De Marcel,20-25,5-10,15-20,0.3-0.5,3-5,6-8,60-80,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,60,24,0.5,tomaat de marcel
Tomato,Tomate Prolifique de Falisolle,20,5,15,0.3,3,3600,70,"[""Sandy loam"",""Loamy sand""]","[""Belgium"",""France"",""Netherlands""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,60,24,12,tomate prolifique de falisolle
Leafy vegetable,Andijvie Radicchio 506 TT,20,5,15,0.3,2,300,60,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Autumn""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,12,12,0.5,andijvie radicchio 506 tt
Leafy vegetable,Andijvie Wallonne,16,2.5,12,0.35,3,18000,70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Belgium"",""Netherlands"",""France""]","[""Spring"",""Autumn""]",35,30,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,18,12,0.5,andijvie wallonne
Leafy vegetable,Boerenkool Roter Krauser,15,5,12,0.3,3,12000,70,"[""Loam"",""Clay"",""Silt""]","[""Netherlands"",""Germany"",""Belgium""]","[""Spring"",""Fall""]",40,30,20,48,"[""Organic compost"",""All-purpose fertilizer""]",4,24,12,0.5,boerenkool roter krauser
Leafy vegetable,Boerenkool Westlandse Winter,4.5,2.5,6.2,0.35,2.1,18000,70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Netherlands"",""Belgium"",""Germany""]","[""Start spring"",""Late summer"",""Early autumn""]",40,30,10,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,18x18,0.5,boerenkool westlandse winter
Leafy vegetable,Groenlof Nettuno TT,15-20,2-4,10-15,0.3-0.4,3-5,3000-3500,60-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate region""]","[""Spring"",""Autumn""]",30,35,20,24-48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",2-3,12-18,12-18,0.5-1,groenlof nettuno tt
Herbaceous Perennial,Grote Kaardebol,15,5,12,0.4,3,18000,60,"[""Sandy loam"",""Clay loam"",""Loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Complete balanced fertilizer"",""Organic compost""]",4,60,12,0.5,grote kaardebol
Perennial,Mariëtteklokje,18,5,15,0.3,2,2400,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Partial shade"",""Well-drained soil""]","[""Late spring"",""Summer""]",30,32,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",6,12,12,1,mariëtteklokje
Flowering Plant,Muurbloem,18,5,15,0.4,3,3600,60,"[""Loam"",""Sandy"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",20,30,10,48,"[""NPK 10-10-10"",""Compost""]",4,12,6,0.5,muurbloem
Annual Flower,Pronkboon Prijswinner,22,5,18,0.3,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,24,12,0.5,pronkboon prijswinner
