Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
Vegetable,Poivron Mini Bell Rouge,25,5,22,0.4,3,3600,50,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",2,12,12,0.5,"poivron mini bell rouge
le sachet de 25 graines"
Vegetable,Poivron Mini Bell Jaune,20-25,2-4,15-20,0.3-0.5,4-6,6-8,60-80,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southwest Asia""]","[""Spring"",""Summer""]",20,35,15,48,"[""NPK fertilizers"",""Organic compost""]",4-6,24,12,0.5,"poivron mini bell jaune
le sachet de 25 graines"
Vegetable,Poivron Mini Bell Mix,20,5,18,0.2,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Southwestern United States"",""Mexico""]","[""Start summer"",""Late spring"",""Early autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,0.5,"poivron mini bell mix
le sachet de 25 graines"
Vegetable,Poivron Orange Ariane,20,5,18,0.3,4,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Start summer""]",40,35,50,24,"[""NPK fertilizer"",""Compost""]",4,24,12,1,"poivron orange ariane
le sachet de 25 graines"
Vegetable,Poivron Sucette de Hyères,20,5,18,0.3,3,3600,65,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Starts in spring"",""Ends in autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.5,"poivron sucette de hyères
le sachet de 25 graines"
Vegetable,Poivron Yolo Wonder,22,5,18,0.3,4,6000,50,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,24,0.5,"poivron yolo wonder
le sachet de 25 graines"
Vegetable,Poivron Long des Landes,22.5,3.5,18.2,0.35,4.2,28800,65,"[""Sandy loam"",""Loam"",""Clay""]","[""France"",""Spain"",""Italy""]","[""Start summer"",""Late summer"",""Early autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,"poivron long des landes
le sachet de 25 graines"
Vegetable,Chou Brocoli Vert Calabrais,18,5,15,0.3,3,3600,60,"[""Loam"",""Silt"",""Clay""]","[""France"",""United States"",""Canada""]","[""Spring"",""Fall""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,18,0.5,"chou brocoli vert calabrais
le sachet de +/- 250 graines"
Vegetable,Chou brocoli à jets violets,18,3,15,0.4,4,24000,70,"[""Loamy"",""Sandy"",""Clay""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Fall""]",40,35,10,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer"",""Potassium-rich fertilizer""]",2,36,12,0.5,"chou brocoli à jets violets
le sachet de +/- 250 graines"
Vegetable,Chou Brocoli Violet du Cap,18,5,15,0.3,4,3600,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Start of spring"",""Early autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,36,24,0.5,"chou brocoli violet du cap
le sachet de +/- 100 graines"
Vegetable,Chicorée de Bruxelles Demi-Hâtive de Hollande,12.5,2.5,15,0.3,3.5,18000,70,"[""Loamy"",""Sandy"",""Clay""]","[""Belgium"",""Netherlands"",""France""]","[""Spring"",""Fall""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,0.5,"chicorée de bruxelles demi-hâtive de hollande
le sachet de +/- 850 graines"
Vegetable,Chicorée de Bruxelles Witloof de Bruxelles,12,2,10,0.3,2,3600,60,"[""Loamy"",""Sandy"",""Clay""]","[""Belgium"",""France"",""Netherlands""]","[""Start of summer"",""Spring"",""Autumn""]",40,30,10,48,"[""Nitrogen-based"",""Phosphorus-based""]",2,12,6,0.5,"chicorée de bruxelles witloof de bruxelles
le sachet de +/- 850 graines"
Vegetable,Chicorée de Bruxelles demi-hâtive de Malines,10-20,2-7,10-15,0.2-0.4,3-5,2000-2500,50-70,"[""Loamy"",""Sandy"",""Clayey""]","[""Brussels"",""Malines"",""Antwerp""]","[""Start of summer"",""Spring"",""Autumn""]",30-40,30-35,20-30,48-72,"[""NPK 10-10-10"",""Organic compost""]",4-6,12-18,12-24,0.2-0.4,"chicorée de bruxelles demi-hâtive de malines
le sachet de +/- 850 graines"
Vegetable,Chicorée de Bruxelles Macun,15,5,10,0.3,3,18000,60,"[""Loamy soil"",""Sandy soil""]","[""Brussels"",""Belgium"",""France""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,16,12,0.5,"chicorée de bruxelles macun
le sachet de +/- 850 graines"
Vegetable,Chicorée di Bruxelles,15,3,12,0.3,4,18000,70,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Fall""]",40,35,10,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,20,12,0.5,"chicorée di bruxelles
le sachet de +/- 850 graines"
Vegetable,Chou de Bruxelles Groninger,15,5,12,0.25,3,3600,70,"[""Sandy loam"",""Loamy soil"",""Clay soil""]","[""North America"",""Europe"",""Asia""]","[""Start of spring"",""Late summer"",""Early autumn""]",40,35,25,48,"[""Nitrogen-based"",""Potassium-based""]",4,24,12,0.5,"chou de bruxelles groninger
le sachet de +/- 220 graines"
Vegetable,Chou de Bruxelles de Rosny,15,5,12,0.3,3,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America""]","[""Spring"",""Fall""]",30,30,20,48,"[""NPK 10-10-10"",""Compost""]",2,24,12,1,"chou de bruxelles de rosny
le sachet de +/- 250 graines"
Vegetable,Courge Musquée d'Hiver de Provence (Winter Squash),18,3,15,0.3,5,3000,60,"[""Loam"",""Sandy Loam""]","[""Provence"",""Mediterranean region""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,48,2,"courge musquée d'hiver de provence
le sachet de 12 graines"
Vegetable,Courge Musquée Sucrine du Berry,20,5,18,0.4,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Europe""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,60,48,1,"courge musquée sucrine du berry
le sachet de 12 graines"
Vegetable,Courge Musquée Futsu Black,20,5,18,0.3,3,3600,50,"[""Loam"",""Sandy loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,50,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,60,36,2,"courge musquée futsu black
le sachet de 12 graines"
Vegetable,Courge musquée longue de Nice,18,5,15,0.4,4,600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Southern Europe""]","[""Summer"",""Autumn""]",40,35,15,48,"[""Organic compost"",""Nitrogen-based fertilizer""]",4,60,36,2,"courge musquée longue de nice
le sachet de 12 graines"
Vegetable,Courge musquée à trompe d'albenga,18-24,2-4,15-20,0.3-0.5,4-6,2400-2800,60-70,"[""Well-drained"",""Loamy""]","[""Mediterranean region"",""Southern Europe""]","[""Start summer"",""Late spring""]",25,35,20,48-72,"[""Compost"",""Organic fertilizer""]",4-6,24,36,1-2,"courge musquée à trompe d'albenga
le sachet de 12 graines"
Vegetable,Courge de Siam,25,10,20,0.3,5,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer"",""Phosphorus-based fertilizer""]",2,60,24,2,"courge de siam
le sachet de 12 graines"
Vegetable,Courge Musquée Honeynut,15-30,5-10,10-20,0.3-0.5,3-5,6-8,60-80,"[""Sandy loam"",""Loamy sand"",""Loam""]","[""North America"",""Europe"",""Asia""]","[""Start summer"",""Late spring"",""Early autumn""]",20,35,20,48,"[""NPK 10-10-10"",""Compost"",""Organic fertilizer""]",4-6,60,36,1,"courge musquée honeynut
le sachet de 12 graines"
Vegetable,Courge Musquée Violina,20,5,18,0.3,3,600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Italy"",""United States""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic Compost"",""Manure""]",4,36,24,2,"courge musquée violina
le sachet de 12 graines"
Vegetable,Courge Musquée Butternut,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""North America"",""Europe"",""Australia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,20,48,"[""Compost"",""Organic Fertilizer""]",2,80,36,1,"courge musquée butternut
le sachet de 12 graines"
Perennial,Cardon Argenté de Plainpalais,18.5,2.5,15.2,0.35,3.8,27000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""France"",""Italy"",""Spain""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""Nitrogen-based"",""Potassium-based""]",6,120,36,1,cardon argenté de plainpalais
Perennial,Cynara cardunculus,22,5,18,0.4,4,30000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Southwestern United States"",""North Africa""]","[""Starts in spring"",""Summer"",""Autumn""]",30,40,30,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4,144,36,2,cardon
Vegetable,Chou-Fleur Neckarperle,20,5,15,0.3,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Germany"",""United Kingdom""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,24,"[""NPK 10-10-10"",""Compost""]",2,24,12,0.5,"chou-fleur neckarperle
le sachet de +/- 250 graines"
Vegetable,Chou-fleur flora blanca,20,5,15,0.3,2,3600,70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Temperate regions"",""Mediterranean regions"",""Subtropical regions""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",3,24,12,0.5,"chou-fleur flora blanca
le sachet de +/- 250 graines"
Vegetable,Chou-fleur romanesco,10-20,2-4,10-25,0.3-0.6,3-5,6-8,50-70,"[""Loamy"",""Sandy""]","[""Cool temperate regions"",""Mediterranean regions""]","[""Spring"",""Autumn""]",30,30,50,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4-6,24-30,24x24,0.5-1,"chou-fleur romanesco
le sachet de +/- 250 graines"
Vegetable,Chou-fleur verde di macerata,18,5,15,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Macerata"",""Ancona"",""Fermo""]","[""Spring"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4,24,12,0.5,"chou-fleur verde di macerata
le sachet de +/- 250 graines"
Vegetable,Chou-fleur Martinet,18,2,15,0.4,3,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""France"",""Belgium"",""Germany""]","[""Spring"",""Autumn""]",20,28,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.5,"chou-fleur martinet
le sachet de +/- 250 graines"
Vegetable,Chou-fleur violet de Sicile,18,5,15,0.4,3,18000,70,"[""Loam"",""Clay""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Fall""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,0.5,"chou-fleur violet de sicile
le sachet de +/- 250 graines"
Vegetable,Céleri rave monarch,20,5,18,0.4,3,30000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer"",""Autumn""]",30,35,10,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.5,"céleri rave monarch
le sachet de +/- 380 graines"
Vegetable,Céleri rave alba,18,5,15,0.3,3,3000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,72,"[""NPK 10-10-10"",""Compost"",""Liquid seaweed""]",4,24,12,0.5,"céleri rave alba
le sachet de +/- 380 graines"
Vegetable,Céleri rave 'Merveille de Zwijndrecht',10-20,3-5,10-15,0.2-0.4,2-4,6-8,50-70,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Fall""]",30-40,35-40,10-15,24-48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,20-24,12x12,0.5-1,"céleri rave ""merveille de zwijndrecht""
le sachet de +/- 380 graines"
Vegetable,Céleri à couper pipe creuse de malines,20,5,15,0.3,3,300,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,30,12,0.5,"céleri à couper pipe creuse de malines
le sachet de +/- 380 graines"
Vegetable,Céleri à couper à jets fins de huy,10-25,1-3,10-20,0.3-0.5,3-5,24000-26000,60-80,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Autumn""]",40-50,30-35,15-20,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,18-24,12-18,0.5-1,"céleri à couper à jets fins de huy
le sachet de +/- 380 graines"
Vegetable,Céleri à couper commun,18,5,15,0.25,3,18000,60,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Canada"",""United States""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,72,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,24,12,0.5,"céleri à couper commun
le sachet de +/- 500 graines"
Tomato,Tomate Cerise Black Cherry,20,5,18,0.3,4,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Summer"",""Spring"",""Autumn""]",40,35,20,24,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,60,12,0.5,"tomate cerise black cherry
le sachet de 25 graines"
Tomato,Tomate Cerise Calabash Rouge,18-25,2-5,15-20,0.2-0.4,4-6,2400-2800,60-80,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean climate regions"",""Temperate regions""]","[""Start summer"",""Spring"",""Autumn""]",20-30,35-40,20-30,48-72,"[""NPK 10-10-10"",""Organic compost""]",4-6,60-80,24-36,0.5-1,"tomate cerise calabash rouge
le sachet de 25 graines"
Fruit,Tomate cerise jaune poire,20,5,18,0.3,4,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Subtropical region"",""Temperate region""]","[""Spring"",""Summer""]",40,35,15,24,"[""NPK fertilizer"",""Compost""]",2,48,24,0.5,"tomate cerise jaune poire
le sachet de 25 graines"
Vegetable,Tomate Cerise Rouge Poire,18.5,3.2,15.7,0.25,2.8,24000,65,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",40,35,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,12,0.5,"tomate cerise rouge poire
le sachet de 25 graines"
Tomato,Tomate cerise en mélange,23,5,18,0.4,4,3000,60,"[""Sandy loam"",""Clay loam"",""Loamy sand""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",2,60,24,0.5,"tomate cerise en mélange
le sachet de 25 graines"
Tomato,Tomate cerise jaune ronde,20,5,18,0.3,2,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Netherlands""]","[""Start summer"",""Late spring"",""Early autumn""]",30,35,50,24,"[""NPK 10-10-10"",""Organic compost""]",4,60,12,0.5,"tomate cerise jaune ronde
le sachet de 25 graines"
Tomato,Tomate Cerise Zuckertraube,25,5,20,0.3,3,3600,60,"[""Loamy"",""Sandy"",""Clay""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Start Summer"",""Late Spring"",""Early Autumn""]",30,40,20,24,"[""NPK 10-10-10"",""Compost"",""Fish Emulsion""]",2,60,12,0.5,"tomate cerise zuckertraube
le sachet de 25 graines"
Tomato,Tomate Cerise Jaune Cocktail Clémentine,20,5,15,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Italy"",""Spain""]","[""Spring"",""Summer"",""Fall""]",30,35,20,24,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4,60,24,0.5,"tomate cerise jaune cocktail clémentine
le sachet de 25 graines"
Tomato,Tomate Cerise Red Robin,25,5,18,0.2,3,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Warm temperate climates""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,48,"[""NPK fertilizer"",""Organic compost""]",3,36,24,0.5,"tomate cerise red robin
le sachet de 25 graines"
Tomato,Tomate Cerise Purple Bumble Bee,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""NPK fertilizers"",""Organic compost""]",2,60,12,0.5,"tomate cerise purple bumble bee
le sachet de 25 graines"
Tomato,Cerise Rose Quartz Multiflora,20-25,5-10,15-20,0.2-0.4,3-5,6-8,40-60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Start summer"",""Spring"",""Autumn""]",40-50,35-40,50-70,24-48,"[""NPK 10-10-10"",""Compost"",""Organic fertilizer""]",2-3,60-80,24x24,0.5-1,"tomate cerise rose quartz multiflora
le sachet de 25 graines"
Tomato,Tomate cerise japonaise basse,20,5,18,0.3,4,600,60,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Temperate regions""]","[""Start summer"",""Late spring"",""Early autumn""]",40,35,30,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,60,12,0.5,"tomate cerise japonaise basse
le sachet de 25 graines"
Tomato,Cerise Yellow Submarine,20,5,18,0.3,3,12000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Sunny locations"",""Greenhouses""]","[""Spring"",""Summer""]",30,35,20,Every 2 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,60,24,0.5,"tomate cerise yellow submarine
le sachet de 25 graines"
Tomato,Tomate Cerise Myriam,20,5,15,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Subtropical regions"",""Warm temperate regions""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,24,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,60,12,1,"tomate cerise myriam
le sachet de 25 graines"
Fruit,Tomate Cerise Groseille Petit Moineau,20,5,18,0.3,3,3000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Italy"",""Spain""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen fertilizer"",""Phosphorus fertilizer"",""Potassium fertilizer""]",4,60,12,1,"tomate cerise groseille petit moineau
le sachet de 25 graines"
Tomato,Tomate cerise tempête de sable,18.5,3.2,15.7,0.25,2.8,3200,65,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Start summer"",""Spring"",""Autumn""]",40,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",3,60,12,0.5,"tomate cerise tempête de sable
le sachet de 25 graines"
Tomato,Tomate Cerise Vilma Cherry,20,5,18,0.3,3,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southwestern United States"",""Central America""]","[""Start summer"",""Spring"",""Autumn""]",30,35,30,48,"[""10-10-10 NPK fertilizer"",""Compost"",""Manure""]",4,60,24,0.5,"tomate cerise vilma cherry
le sachet de 25 graines"
Tomato,Tomate Cerise Balconi Jaune,20,5,18,0.4,4,24000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""California"",""Florida""]","[""Start summer"",""Spring"",""Fall""]",30,35,20,24,"[""NPK 10-10-10"",""Organic compost""]",2,60,12,0.5,"tomate cerise balconi jaune
le sachet de 25 graines"
Vegetable,Tomate Cerise Orangette,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,60,12,0.5,"tomate cerise orangette
le sachet de 25 graines"
Vegetable,Tomate cerise gardener's delight le sachet de 25 graines,20,5,15,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions"",""Greenhouses""]","[""Start summer"",""Mid-summer"",""Late summer""]",30,35,20,24,"[""NPK 10-10-10"",""Compost"",""Organic fertilizers""]",4,60,12,0.5,"tomate cerise gardener's delight
le sachet de 25 graines"
Tomato,Tomate Cerise Rose de Podlaki,20,5,15,0.3,4,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Start of summer"",""Spring"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,0.5,"tomate cerise rose de podlaki
le sachet de 25 graines"
Tomato,Tomate Cerise Raisin Vert,22,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southwestern United States"",""Central America""]","[""Spring"",""Summer""]",40,35,30,24,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",2,60,24,0.5,"tomate cerise raisin vert
le sachet de 25 graines"
