,Average Temperature (2 m)_1,Average Temperature (2 m)_2,Average Precipitation per day_1,Average Precipitation per day_2,Average Soil Temperature (0 to 6 cm)_1,Average Soil Temperature (0 to 6 cm)_2,Average Sunshine Duration_1,Average Sunshine Duration_2,Humidity(%)_1,Humidity(%)_2,Rainfall Alert Maximum Rain (mm)_1,Rainfall Alert Maximum Rain (mm)_2
141,20,25,5,10,18,22,6,8,50,70,20,
142,25,,10,,20,,3000s,,70,,50,
143,25,,5,,20,,6000,,60,,30,
144,20,25,5,10,18,22,6,8,40,60,30,
145,20,,5,,18,,8h,,60,,10,
146,15,,5,,18,,3600,,70,,20,
147,20,,5,,18,,12000,,60,,20,
148,25,,5,,20,,3600,,60,,10,
149,25,,5,,20,,3000,,70,,20,
150,20,,5,,18,,6000,,60,,50,
151,25,,5,,20,,6000,,70,,50,
152,22,,5,,18,,6000,,60,,20,
153,20,,5,,15,,6000,,60,,30,
154,20,,5,,18,,600,,70,,20,
155,18,,5,,15,,60000,,60,,50,
156,18,,5,,15,,3600,,50,,30,
157,18,25,5 , 10,15 , 20,6 , 8,40 , 60,20,
158,25,,5,,20,,3600,,60,,30,
159,20,,5,,18,,3600,,70,,20,
160,25,,10,,20,,5000,,60,,50,
161,25,,5,,20,,3600,,60,,20,
162,15,25,5,10,10,20,18000,22000,40,60,50,
163,18,,5,,15,,600s,,60,,20,
164,25,,10,,20,,6000,,70,,50,
165,25,,5,,20,,3600,,60,,10,
166,25,,10,,20,,300,,60,,50,
167,22,,5,,18,,6000,,60,,10,
168,25,,10,,20,,300s,,70,,50,
169,20,,5,,18,,600,,60,,10,
170,20,,5,,18,,5000,,60,,50,
171,25,,10,,20,,6000,,70,,50,
172,20,,5,,15,,3600,,60,,20,
173,20,,5,,18,,18000,,60,,50,
174,22,,3,,18,,6000,,60,,20,
175,25,,5,,20,,6000,,60,,15,
176,26,,4,,18,,600,,60,,20,
177,18,,3,,15,,12000,,60,,20,
178,18,,3,,15,,600,,60,,20,
179,20,,5,,18,,300,,60,,50,
180,25,,10,,20,,6000,,60,,50,
181,18,27,2,5,15,25,18000,20000,40,60,20,
182,25,,5,,20,,600s,,60,,50,
183,24,,5,,20,,600,,60,,20,
184,25,,5,,20,,6000,,70,,20,
185,20,,5,,18,,6000,,60,,20,
186,25.6,,12.3,,22.1,,3600,,60,,50,
187,25,,10,,22,,3600,,70,,50,
188,,5,5,,2,,5000,,60,,20,
189,18,,2,,15,,300,,60,,15,
190,20,,5,,18,,3600,,70,,20,
191,20,,10,,15,,18000s,,70,,50,
192,25,,5,,20,,600,,60,,40,
193,22,,5,,18,,3600,,60,,20,
194,18,25,1,5,15,20,18000,22000,40,60,50,100
195,25,,5,,20,,6000,,60,,20,
196,20,,5,,18,,3600,,60,,30,
197,25,,5,,20,,6000,,60,,20,
198,20,,5,,15,,600s,,60,,20,
199,10,24,2,5,12,18,24000,28000,40,60,15,
200,25,,5,,20,,6000,,60,,20,
201,25,,10,,20,,6000,,60,,50,
202,20,,10,,15,,6000,,60,,50,
203,25,,5,,20,,6000,,70,,50,
204,25,,5,,20,,600,,60,,10,
205,25,,5,,20,,18000,,60,,10,
206,25.5,,5.2,,21.7,,24000,,60,,20,
207,25,,5,,20,,8000,,60,,20,
208,20,,5,,18,,600s,,60,,100,
209,25,,5,,20,,3600,,60,,20,
210,20,,5,,18,,600,,60,,20,
211,20,,5,,18,,6000,,60,,50,
212,20,,5,,18,,6000,,70,,30,
213,25,,10,,20,,3600,,60,,50,
214,20,,5,,18,,6000,,60,,30,
215,25,,5,,20,,6000,,60,,10,
216,15,,5,,10,,18000,,70,,20,
217,20,,5,,18,,3600,,60,,20,
218,25,,5,,22,,3600,,60,,20,
219,25,,5,,20,,3600,,60,,20,
220,20,,5,,18,,6000,,60,,20,
221,20,,5,,18,,6000,,50,,10,
222,25,,10,,20,,6000,,60,,20,
223,20,25,5,10,18,22,600,800,50,70,20,
224,20,,5,,18,,300,,60,,10,
225,20,25,5,10,18,22,3000,,50,70,20,
226,25,,5,,20,,600,,60,,20,
227,25,,5,,20,,3600,,60,,10,
228,25,,5,,20,,24000,,60,,20,
229,25,,2.5,,20,,6000,,70,,10,
230,25,,5,,20,,6000,,60,,10,
231,25,,5,,20,,6000,,60,,20,
232,20,,5,,18,,3600s,,60,,100,
233,25,,5,,20,,6000,,60,,20,
234,20,,5,,15,,600,,60,,20,
235,25,,5,,20,,60000,,60,,20,
236,25,,5,,20,,3600,,70,,50,
237,22,,5,,18,,7200,,60,,20,
238,25,,5,,20,,6000,,60,,20,
239,25,,10,,20,,3600,,70,,50,
240,25,,10,,20,,3600,,60,,50,
241,25,,5,,20,,6000,,60,,20,
242,28,,5,,25,,6000,,60,,50,
243,20,,5,,18,,6000,,70,,50,
244,25,,5,,20,,6000,,60,,50,
245,25,,5,,20,,30000,,60,,50,
246,25,,10,,20,,3600,,60,,50,
247,25,,5,,20,,3600,,60,,30,
248,25,,3,,20,,3600,,60,,30,
249,25,,5,,22,,3600,,60,,10,
250,25,,10,,28,,6000,,60,,100,
251,25,,5,,20,,3000,,70,,50,
252,25,,5,,20,,3600,,60,,50,
253,26,,10,,28,,6000,,70,,50,
254,20,,2,,18,,6000,,60,,20,
255,25,,5,,20,,3000,,70,,50,
256,18,25,5,10,15,20,24000,28000,40,70,30,
257,22,,10,,18,,3600,,60,,20,
258,20,,5,,18,,6000,,60,,20,
259,25,,10,,20,,6000,,60,,50,
260,20,,5,,18,,6000,,70,,20,
261,25,,10,,20,,600,,50,,50,
262,25,,10,,20,,5000,,60,,50,
263,20,,5,,22,,600s,,50,,30,
264,22,,5,,18,,6000,,60,,10,
265,25,,5,,20,,8h,,60,,20,
266,25,,5,,20,,5000,,70,,50,
267,20,,5,,18,,3600,,60,,20,
268,25,,5,,20,,18000,,60,,20,
269,25,,5,,20,,3600,,60,,10,
270,25,,5,,20,,6000,,70,,50,
271,25,,5,,22,,6000,,60,,20,
272,25,,5,,20,,18000,,60,,20,
273,25,,5,,20,,18000,,60,,50,
274,25,,5,,28,,3600,,60,,30,
275,25,,5,,20,,3600,,60,,100,
276,25,,5,,20,,30000,,60,,20,
277,25,,5,,20,,6000,,60,,10,
278,25,,5,,20,,3600,,60,,20,
279,25,,10,,20,,600s,,70,,50,
280,20,,5,,18,,18000,,60,,10,
281,25,,5,,20,,3600,,70,,10,
282,25,,5,,20,,6000,,60,,20,
283,25,,5,,20,,6000,,60,,20,
284,,,,,,, ,,,,,
285,18,,5,,15,,3600,,70,,20,
286,30,,0,,35,,3600,,20,,0,
287,25,,5,,22,,3600,,60,,20,
288,25,,5,,22,,3600,,60,,30,
289,25,,5,,20,,6000,,60,,20,
290,25,,5,,20,,3600,,70,,50,
291,22,,5,,18,,6000,,70,,20,
292,22,,5,,20,,3600,,60,,10,
293,20,,5,,18,,3600,,60,,20,
294,25,,5,,20,,6000,,60,,20,
295,22,,5,,18,,3600,,60,,50,
296,20,,5,,15,,600s,,60,,10,
297,15,25,10,15,15,20,18000,20000,40,60,50,60
298,25,,10,,20,,6000,,60,,50,
299,20,,5,,18,,6000,,70,,20,
300,24,,5,,22,,3600,,70,,20,
301,18,,5,,20,,3600,,60,,30,
302,22,,5,,20,,6000,,60,,20,
303,15,25,3,6,10,20,2000,2500,40,60,10,20
304,25,,5,,20,,60000,,60,,20,
305,25,,5,,20,,3600,,70,,50,
306,20,,5,,15,,3000,,60,,15,
307,18,,2,,15,,6000,,60,,10,
308,25,,5,,20,,300,,60,,50,
309,22,,5,,18,,30000,,60,,20,
310,20,,5,,18,,6000,,60,,20,
311,20,,5,,18,,6000,,60,,10,
312,25,,5,,20,,5000,,70,,20,
313,20,,5,,15,,18000,,60,,20,
314,20,,5,,25,,600s,,60,,50,
315,20,25,5,10,18,22,6000,7000,50,70,20,30
316,22.5,,3.5,,20.2,,28000,,65,,30,
317,20,,5,,18,,30000,,60,,10,
318,25,,5,,20,,6000,,60,,20,
319,28,,10,,25,,6000,,60,,50,
320,22,,5,,18,,900,,60,,20,
321,22,,5,,18,,3600,,60,,20,
322,25,,5,,20,,600,,60,,20,
323,20,25,5,10,18,25,6,8,50,70,30,
324,28,,5,,25,,3600,,60,,20,
325,25,,5,,20,,30000,,60,,15,
326,20,,5,,18,,30000,,60,,20,
327,20,,5,,18,,600s,,60,,20,
328,25,,5,,20,,10s,,50,,20,
329,20,,10,,15,,600s,,60,,50,
330,25,,5,,20,,6000,,50,,20,
331,25,,10,,20,,3000,,60,,50,
332,25,,5,,20,,6000,,60,,20,
333,15,25,2,4,15,20,2000,,40,60,10,
334,15,,5,,18,,24000,,60,,20,
335,18,,5,,15,,18000,,70,,20,
336,15,,5,,12,,18000,,70,,20,
337,20,,5,,18,,30000,,60,,30,
338,20,,5,,15,,30000,,60,,20,
339,18,,5,,15,,18000,,60,,50,
340,20,,5,,15,,30000,,60,,20,
341,20,,5,,15,,3000,,60,,20,
342,16,,4,,15,,3600,,70,,50,
343,14.5,,3.5,,12.8,,28800,,65,,25,
344,10,20,2,5,10,15,24000,28000,40,60,10,
345,20,,5,,18,,3600,,60,,20,
346,20,,5,,18,,6000,,60,,15,
347,19,,5,,14,,54000,,65,,20,
348,20,,5,,18,,18000,,70,,20,
349,18,,5,,15,,24000,,60,,20,
350,15,25,5,10,10,20,1200,1500,40,70,20,
351,15,,5,,12,,3000,,70,,20,
352,20,,5,,18,,18000,,70,,50,
353,10,20,5,10,12,18,18000,22000,60,80,20,
354,20,,5,,15,,3600,,50,,20,
355,20,,5,,18,,6000,,60,,20,
356,20,25,5,10,15,20,2400,2800,40,60,20,
357,20,,5,,15,,24000,,60,,20,
358,20,,5,,15,,18000,,60,,20,
359,20,,10,,15,,3600,,60,,20,
360,20,,5,,18,,3000,,60,,20,
361,20,,5,,15,,600,,60,,20,
362,10,25,2,5,10,20,18000,22000,40,70,10,
363,16.5,,2.5,,15.2,,21600,,60,,20,
364,15,25,5,10,15,20,3000,4000,40,60,20,
365,20,,5,,18,,6000,,60,,20,
366,16,,2,,14,,25000,,60,,15,
367,16,,3,,15,,30000,,60,,20,
368,20,,5,,15,,3600,,60,,20,
369,20,,5,,18,,6000,,60,,20,
370,20.5,,5.7,,18.2,,25000,,65,,20,
371,8,15,2,5,5,10,4,6,40,60,15,
372,18,,5,,15,,7200,,60,,20,
373,18,,5,,15,,6000,,60,,20,
374,10,,5,,12,,3000,,60,,20,
375,20,,5,,18,,6000,,50,,20,
376,16.5,,2.5,,14.2,,25000,,55,,50,
377,15,,5,,18,,600,,60,,20,
378,15,,2,,18,,24000,,60,,50,
379,20,,5,,15,,6000,,50,,20,
380,22,,5,,18,,6000,,60,,20,
381,10,,5,,8,,18000,,60,,20,
382,20,,5,,15,,6000,,60,,30,
383,20,25,5,10,15,20,2400,2800,60,70,15,20
384,20,,5,,15,,18000,,60,,50,
385,15,,5,,12,,600,,60,,50,
386,20,,5,,15,,6000,,60,,50,
387,10,,5,,8,,10000,,50,,20,
388,15,25,2,5,12,18,3000,3500,40,70,10,20
389,20,,5,,15,,6000,,60,,20,
390,20,,5,,15,,3000,,60,,20,
391,20,,5,,15,,18000,,70,,20,
392,20,,5,,15,,3600,,60,,20,
393,20,,5,,15,,6000,,60,,20,
394,15,,5,,12,,600,,70,,50,
395,15,,5,,12,,3600,,60,,10,
396,10,20,2,5,10,15,4,8,40,60,20,
397,20,,5,,18,,3600,,60,,20,
398,22,,5,,18,,2400,,60,,30,
399,18,,5,,15,,24000,,65,,20,
400,18,,10,,15,,3600,,60,,50,
401,15,,3,,12,,18000,,70,,10,
402,15to25,,5 to 10,,15 to 20,,6 to 8,,40 to 60,,50,
403,20,,5,,15,,6000,,60,,20,
404,18,,5,,15,,600,,60,,20,
405,25,,5,,20,,12000,,60,,15,
406,20,,5,,15,,3600,,60,,20,
407,20,,5,,18,,3600,,70,,20,
408,20,,10,,18,,3000,,60,,50,
409,20,,5,,18,,20000,,60,,20,
410,12.5,,3.5,,10.8,,25000,,60,,15,
411,12,,3,,10,,18000,,60,,10,
412,18.5,,5.2,,15.2,,24000,,65,,20,
413,18,,5,,15,,6000,,70,,20,
414,25,,5,,22,,6000,,80,,50,
415,20,,5,,18,,3600,,50,,30,
416,18,,5,,15,,3600,,60,,20,
417,20,,5,,15,,3600,,60,,20,
418,20,,5,,15,,30000,,60,,20,
419,20,,5,,15,,6000,,50,,20,
420,20,,5,,18,,600,,60,,20,
421,18,,3,,15,,3000,,60,,20,
422,20,,5,,15,,6000,,60,,50,
423,20,,5,,15,,600,,60,,20,
424,18,,4,,15,,300,,60,,20,
425,18,,5,,15,,5000,,60,,20,
426,20,,5,,15,,6000,,60,,20,
427,25,,5,,20,,3000,,60,,50,
428,20,,5,,18,,3600,,60,,20,
429,20,,5,,15,,6000,,70,,20,
430,10,,5,,12,,24000,,60,,20,
431,15,,5,,18,,24000,,50,,20,
432,20,,5,,15,,3600,,60,,20,
433,20,,5,,15,,6000,,50,,20,
434,25,,5,,20,,6000,,50,,20,
435,18,,5,,15,,5000,,60,,20,
436,18,,5,,15,,6000,,70,,50,
437,15,25,2,4,10,20,6,8,40,60,10,20
438,20,,5,,18,,18000,,60,,20,
439,15,25,5,10,12,18,6,8,40,60,20,
440,20,,5,,18,,6000,,50,,20,
441,15,25,2,5,15,20,6,8,40,60,10,
442,25,,5,,20,,6000,,60,,20,
443,20,,5,,15,,18000,,70,,20,
444,22,,5,,18,,6000,,50,,20,
445,20,,5,,18,,3600,,80,,20,
446,25,,5,,20,,600,,60,,50,
447,20,,5,,18,,3600,,80,,20,
448,25,,5,,20,,3000,,60,,20,
449,20,,5,,15,,6000,,60,,30,
450,18,,3,,15,,6000,,60,,20,
451,25,,5,,20,,12000,,70,,20,
452,25,,5,,20,,3600,,60,,50,
453,20,,5,,15,,3600,,50,,20,
454,15,30,5,10,10,20,18000,22000,40,70,20,
455,10,,3,,12,,24000,,70,,20,
456,15,,5,,10,,3600,,70,,20,
457,25,,5,,20,,6000,,60,,10,
458,20,,5,,18,,3600,,70,,20,
459,15,,5,,10,,18000,,70,,20,
460,23,,5,,18,,7200,,60,,20,
461,20,,5,,18,,6000,,60,,20,
462,18,,5,,15,,18000,,70,,10,
463,18,,5,,12,,18000,,60,,20,
464,15,,5,,18,,3600,,70,,50,
465,10,,5,,15,,18000,,50,,20,
466,20,,5,,18,,600,,60,,20,
467,15,,5,,10,,3600,,50,,20,
468,18,,5,,15,,3600,,60,,20,
469,20,,5,,18,,24000,,60,,20,
470,15,,5,,18,,3600,,60,,20,
471,18,,5,,15,,3600,,50,,20,
472,20,,5,,18,,18000,,60,,20,
473,20,,5,,15,,3000,,60,,50,
474,22,,5,,18,,60000,,60,,30,
475,20,,5,,18,,600,,60,,20,
476,20,,5,,15,,6000,,70,,50,
477,20,,5,,15,,3000,,60,,20,
478,20,,5,,15,,6000,,60,,50,
479,25,,5,,20,,3600,,60,,10,
480,18,,5,,15,,6000,,50,,50,
481,18,,5,,15,,30000,,60,,50,
482,20,,5,,18,,600,,50,,20,
483,20,,5,,15,,3600,,70,,20,
484,22,,5,,20,,3600,,60,,20,
485,15,,5,,10,,18000,,60,,10,
486,20,,5,,15,,300,,60,,20,
487,20,,10,,18,,3600s,,60,,50,
488,25,,5,,20,,600,,60,,20,
489,,,,,,, ,,,,,
490,10,,5,,8,,21600,,60,,10,
491,20,,5,,18,,6000,,50,,20,
492,18,,3,,15,,2400,,60,,10,
493,20,,5,,18,,6000,,70,,20,
494,15,,5,,18,,3600,,70,,10,
495,20,,5,,15,,6000,,60,,20,
496,20,,10,,15,,600,,50,,20,
497,20,,5,,15,,600,,60,,20,
498,,,,,,, ,,,,,
499,20,,5,,15,,3600,,60,,20,
500,20,,2,,15,,30000,,60,,10,
501,15,20,1,2,10,15,3000,4000,40,60,10,20
502,20,,5,,18,,3600,,60,,10,
503,15,,5,,12,,600,,70,,20,
504,0,,0,,0,,0,,0,,0,
505,18,,5,,15,,6000,,70,,15,
506,18.5,,2.5,,15.2,,24000,,70,,10,
507,20,,5,,18,,6000,,70,,50,
508,23,,5,,20,,6000,,70,,20,
509,20,,5,,18,,3000,,60,,20,
510,20,,5,,15,,18000,,70,,20,
511,25,,10,,20,,3600,,60,,20,
512,20,,5,,15,,18000,,60,,15,
513,,5,5,,2,,3000,,70,,20,
514,15,,5,,18,,300,,70,,20,
515,20,,10,,15,,300s,,60,,50,
516,25,,5,,20,,3600,,60,,20,
517,20,,5,,18,,3600,,70,,20,
518,,5,5,,10,,18000,,70,,50,
519,,,,,,, ,,,,,
520,22,,2,,18,,6000,,50,,10,
521,18,,5,,15,,3600,,60,,20,
522,20,,5,,15,,3000,,60,,30,
523,20,,5,,18,,6000,,60,,20,
524,20,,5,,18,,600,,50,,20,
525,18,,5,,15,,600,,70,,10,
526,20,,5,,15,,3000,,60,,20,
527,20,,5,,18,,6000,,50,,20,
528,20,,5,,18,,3600,,60,,10,
529,15,,5,,12,,600s,,60,,20,
530,20,,5,,15,,3000,,70,,50,
531,20,,5,,18,,3600,,60,,20,
532,15,,5,,18,,6000,,60,,20,
533,20,,5,,18,,600,,60,,30,
534,20,,5,,15,,6000,,60,,15,
535,20,,5,,15,,3600,,70,,20,
536,12,,5,,10,,18000,,70,,20,
537,15,,5,,18,,600,,70,,20,
538,20,,5,,18,,6000,,60,,20,
539,25,,5,,20,,10s,,70,,50,
540,15,,2,,12,,6000,,60,,10,
541,20,,5,,18,,3600,,60,,20,
542,18,,5,,15,,6000,,60,,20,
543,20,25,5,10,15,20,5000,6000,50,70,20,30
544,18,,5,,15,,3600,,50,,20,
545,15,25,5,10,10,15,3000,4000,50,70,20,30
546,10,,5,,8,,600s,,70,,20,
547,20,,5,,15,,3000,,60,,20,
548,20,,3,,18,,3600,,70,,10,
549,20,25,5,10,15,20,6000,7000,40,60,50,60
550,25,,5,,20,,30000,,50,,20,
551,18,,5,,15,,18000,,70,,20,
552,25,,5,,20,,30000,,60,,50,
553,20,,5,,18,,18000,,70,,20,
554,20,,5,,18,,18000,,50,,20,
555,15,25,5,10,15,20,4,6,50,70,20,
556,20,,5,,15,,6000,,60,,20,
557,20,,5,,18,,3000,,60,,10,
558,10,25,5,15,10,20,18000,22000,40,70,30,
559,18,,5,,15,,6000,,60,,20,
560,20,,5,,15,,600,,70,,20,
561,20,,5,,15,,6000,,60,,20,
562,25,,5,,20,,6000,,60,,50,
563,15,25,5,10,12,18,6,8,50,70,20,
564,18,,5,,15,,3600,,60,,20,
565,20,,5,,18,,600,,60,,10,
566,20,,5,,15,,6000,,50,,20,
567,22,,10,,18,,30000,,60,,50,
568,25,,5,,20,,3600,,70,,20,
569,15,,5,,12,,3600,,60,,20,
570,20,,5,,18,,6000,,60,,10,
571,10,25,2,5,8,20,3000,3500,40,70,10,20
572,20,,5,,18,,300,,70,,50,
573,20,,5,,18,,3000,,60,,20,
574,15,,5,,12,,30000,,70,,20,
575,20,,5,,18,,6000,,65,,10,
576,24,,5,,20,,600,,60,,50,
577,22,,5,,20,,6000,,60,,20,
578,20,,5,,18,,6000,,60,,50,
579,15,,5,,12,,3600,,70,,20,
580,20,,5,,18,,6000,,50,,20,
581,18.5,,5.2,,15.2,,23000,,65,,20,
582,20,,5,,15,,18000,,60,,20,
583,18,,3,,15,,300,,70,,10,
584,18,,5,,15,,3000,,60,,20,
585,25,,5,,20,,6000,,60,,20,
586,24,,10,,20,,3600,,60,,20,
587,22,,5,,18,,600,,60,,30,
588,25,,5,,20,,6000,,70,,50,
589,20,,5,,15,,3600,,60,,30,
590,25,,5,,20,,3000,,60,,20,
591,25,,5,,20,,3600,,60,,30,
592,20,,5,,15,,6000,,60,,20,
593,25.6,,10.2,,21.8,,23400,,70,,50,
594,25,,5,,20,,3600,,70,,20,
595,20,,5,,15,,3000,,70,,50,
596,14.5,,3.2,,12.3,,24000,,60,,20,
597,22,,5,,18,,3600,,50,,30,
598,18,,5,,15,,30000,,60,,20,
599,18,,5,,15,,6000,,70,,20,
600,12,,4,,10,,2400,,70,,20,
601,20,,5,,15,,3600,,60,,20,
602,10,,5,,12,,5000,,60,,20,
603,20,,5,,15,,600,,60,,20,
604,15,,4,,12,,600,,60,,20,
605,18,,5,,15,,3600,,70,,10,
606,25,,5,,20,,3600,,70,,10,
607,25,,5,,20,,6000,,70,,10,
608,20,,5,,15,,6000,,60,,10,
609,20,,5,,18,,10s,,60,,50,
610,10,15,5,10,10,15,18000,22000,60,80,20,
611,10,,5,,12,,24000,,70,,20,
612,12,,5,,10,,3600,,60,,20,
613,18,,5,,15,,3600,,75,,10,
614,22,,5,,18,,3600,,60,,20,
615,12,,5,,10,,24000,,70,,20,
616,18,,4,,15,,3600,,60,,10,
617,20,,5,,15,,6000,,65,,20,
618,22.5,,5.4,,18.3,,28800,,70,,20,
619,20,,5,,18,,6000,,60,,20,
620,15,,5,,12,,24000,,60,,50,
621,18,,5,,15,,6000,,60,,20,
622,20,,5,,18,,3000,,50,,10,
623,15,,5,,12,,6000,,60,,20,
624,20,,5,,18,,600s,,60,,100,
625,18,,5,,15,,600,,70,,20,
626,15,,5,,12,,6000,,60,,20,
627,25,,5,,20,,6000,,70,,50,
628,15,,5,,12,,2400s,,70,,50,
629,18,,5,,15,,6000,,60,,20,
630,15,,5,,12,,3600,,70,,20,
631,25,,5,,20,,6000,,60,,30,
632,20,,5,,18,,3600,,60,,20,
