Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Flowering Plant,Gullris,12.5 °C,3.2 mm,11.8 °C,0.22 m³/m³,2.8 mm/day,"5,400 seconds",65%,"[""Sandy loam"",""Loamy sand"",""Silty loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30 km/h,30.5 °C,50 mm,72 hours,"[""NPK 10-10-10"",""Compost"",""Liquid fertilizer""]",4 weeks,36 inches,12 inches,0.5 inches,gullris
Flowering plant,Gullstake,20,5,18,0.4,3,600,50,"[""loam"",""sandy loam"",""clay loam""]","[""temperate regions"",""coastal areas""]","[""Spring"",""Summer""]",30,35,20,24,"[""NPK"",""compost""]",4,24,12,1,gullstake
Flower,Gullviva,15,5,10,0.3,3,3600,60,"[""Loamy soil"",""Sandy soil""]","[""Northern Europe"",""North America""]","[""Spring"",""Early Summer""]",30,30,20,24,"[""Organic compost"",""Slow-release fertilizer""]",4,12,12,0.5,gullviva
Perennial Flower,Gul sötväppling,20,5,15,0.3,3,18000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",30,35,20,24,"[""10-10-10"",""20-20-20""]",4,24,36,0.5,gul sötväppling
Herbaceous perennial,Gurkört,18,2,15,0.4,3,24000,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,10,48,"[""Nitrogen-based"",""Potassium-based""]",4,24,12,0.5,gurkört
Flowering plant,Gängel,25,5,20,0.3,3,3600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,gängel
Flowering Plant,Gökblomster,22,5,18,0.25,3,7200,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,gökblomster
Annual,Hampa,20,5,18,0.3,3,3600,60,"[""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Compost""]",4,60,12,0.5,hampa
Perennial,Harört,20,10,18,0.3,5,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Coastal areas""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Organic compost"",""Slow-release fertilizer""]",4,20,12,0.5,harört
Vegetable,Havanna Peppar,25,5,20,0.3,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Spring"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,24,12,1,havannapeppar
Grain Crop,Havre,10-25,5-20,10-20,0.2-0.4,3-6,18000-22000,60-80,"[""Loam"",""Silt"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,36,24,2,havre
Grain,Havrerot,15,5,10,0.2,3,6000,70,"[""Loam"",""Silt"",""Clay""]","[""Northern Europe"",""North America"",""Russia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,12,2,havrerot
Shrub,Havtorn,12.5,3.5,10.2,0.25,2.8,3000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""Coastal areas"",""Northern Europe""]","[""Start of summer"",""Late summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,120,48,1,havtorn
Perennial,Helbladig Klematis,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer""]",30,35,20,24,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,96,36,1,helbladig klematis
Flowering Plant,Himmelsblomma,20 °C,5 mm,18 °C,0.3 m³/m³,3 mm/day,3600 seconds,50%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30 km/h,35 °C,10 mm,12 hours,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks,24 in,12 in,1 in,himmelsblomma
Flowering Plant,Hirs,25,10,20,0.4,5,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,hirs
Perennial Flower,Hjärtklocka,18,5,15,0.4,3,24000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,hjärtklocka
Perennial,Hjärtstilla,20,5,15,0.3,3,6000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,72,"[""NPK 10-10-10"",""Compost"",""Seaweed extract""]",4,24,12,0.5,hjärtstilla
Annual Flower,Honungsfacelia,20,5,18,0.3,3,6000,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Organic Compost""]",4,24,12,0.5,honungsfacelia
Flowering Plant,Humleblomster,20,5,18,0.3,4,6000,60,"[""Sandy loam"",""Clay loam"",""Loamy sand""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",40,30,20,24,"[""NPK"",""Compost""]",4,60,24,1,humleblomster
Perennial,Hundtunga,15-25,1-3,10-20,0.2-0.5,4-6,2400-2800,40-60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30-40,35-40,50-100,48-72,"[""NPK"",""Compost"",""Organic fertilizer""]",4-6,24-36,12-18,0.5-1,hundtunga
Flowering plant,Hundäxing,20,5,18,0.4,3,24000,60,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""Eastern United States""]","[""Late spring"",""Summer""]",40,30,10,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,hundäxing
Leafy vegetable,Huvudsalat,20,5,15,0.3,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Autumn""]",30,30,15,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,0.5,huvudsalat
Legume,Häckvicker,20,5,18,0.25,3,3600,60,"[""Loam"",""Silt"",""Clay""]","[""Northern Europe"",""North America"",""Scandinavia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,häckvicker
Perennial,Hängpimpinell,15,5,12,0.2,3,600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,hängpimpinell
Tree,Hästkastanj,15,5,12,0.3,3,6000,60,"[""Loam"",""Clay""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,80,400,2,hästkastanj
Perennial Flower,Hässleklocka,18,5,15,0.4,3,3600,50,"[""Sandy loam"",""Loamy sand""]","[""Temperate regions"",""Scandinavian countries""]","[""Late spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,24,12,0.5,hässleklocka
Perennial,Höstanemon,18,5,15,0.4,3,600,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""Compost"",""Organic fertilizer""]",4,24,12,0.5,höstanemon
Flowering Plant,Höstfibbla,18,5,15,0.3,3,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Late Spring"",""Summer""]",30,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,24,12,0.5,höstfibbla
Annual,Indiankrasse,25.6,4.7,20.3,0.25,3.2,32400,70,"[""Sandy loam"",""Loamy sand""]","[""North India"",""Central India"",""South India""]","[""Summer"",""Monsoon""]",40,45,50,24,"[""NPK"",""Organic compost""]",4,24,12,0.5,indiankrasse
Indoor plant,Indiskt fotblad,25,5,22,0.4,3,18000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Indoor"",""Greenhouses"",""Tropical regions""]","[""Year-round"",""All seasons""]",30,35,20,48,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4,12,10,0.5,indiskt fotblad
Leafy vegetable,Isbergssallat,18,3,15,0.4,2,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Canada""]","[""Spring"",""Autumn""]",30,25,10,48,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",2,10,12,0.5,isbergssallat
Perennial,Isört,25,5,20,0.4,3,6000,60,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,15,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,10,12,2,isört
Flowering Vine,Italiensk Klematis,18,5,15,0.3,3,600,65,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean region"",""Temperate climates""]","[""Spring"",""Summer"",""Early Fall""]",40,35,20,24,"[""Organic compost"",""Balanced NPK fertilizer""]",4,72,36,2,italiensk klematis
Perennial Flower,Japansk Jättelilja,18,5,15,0.3,3,24000,60,"[""Well-drained soil"",""Loamy soil""]","[""Northern Europe"",""North America""]","[""Late Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,60,24,2,japansk jättelilja
Perennial Plant,Japansk sodaört,10-25,5-15,10-20,0.2-0.5,2-5,4-8,40-70,"[""Sandy Loam"",""Loamy Sand"",""Silt Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""East Asia""]","[""Spring"",""Summer""]",40-60,30-35,20-30,24-48,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,12-24,12-18,0.5-1,japansk sodaört
Flowering Plant,Japansk Vingnöt,18,10,15,0.3,5,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,50,48,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,24,12,2,japansk vingnöt
Perennial,Jättegräslök,15,3,12,0.25,2,3600,60,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Sweden"",""Norway"",""Finland""]","[""Late spring"",""Summer""]",40,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,24,1,jättegräslök
Vegetable,Jättepumpa 28,20,5,18,0.3,3,30000,60,"[""loam"",""sandy loam"",""clay loam""]","[""Northern Europe"",""North America"",""Scandinavia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,36,2,"jättepumpa 28,"
Flower,Jättesolros,15-25,5-10,15-20,0.2-0.4,3-5,3600-4000,50-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,30,48,"[""NPK 20-20-20"",""Organic compost""]",4-6,80-120,12-16,1-2,jättesolros
Perennial,Jättestånds,15,5,18,0.3,3,24000,70,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,12,2,jättestånds
Flowering Plant,Jättevadd,20,5,15,0.3,3,3000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,36,24,0.5,jättevadd
Herb,Kamomill 29,20,5,18,0.4,3,6000,60,"[""Loam"",""Silt"",""Clay""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,15,24,"[""Nitrogen-rich fertilizer"",""Compost""]",4,24,12,0.5,"kamomill 29,"
Perennial Flower,Kaphyacint,25,5,20,0.3,3,6000,70,"[""Loamy"",""Sandy""]","[""Garden beds"",""Containers""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,18,6,1,kaphyacint
Perennial,Kardvädd,18,5,15,0.3,4,3600,60,"[""Loam"",""Sandy Loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,1,kardvädd
Herbaceous perennial,Kattfot,18,5,15,0.4,2,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,24,"[""Organic compost"",""General purpose liquid fertilizer""]",4,12,8,0.2,kattfot
Perennial,Kaukasisk Elfenbensklocka,18,5,15,0.4,3,6000,50,"[""Loamy"",""Sandy""]","[""Northern Europe"",""North America""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,20,12,1,kaukasisk elfenbensklocka
Perennial,Lilium martagon var. album,18,5,15,0.3,3,6000,60,"[""Loam"",""Clay"",""Sandy loam""]","[""Northern Europe"",""Caucasus"",""Central Asia""]","[""Spring"",""Summer""]",40,28,20,48,"[""10-10-10"",""5-10-5""]",4,48,10,2,kaukasisk lilja
Perennial Flower,Kaukasisk stjärnflocka,18,5,15,0.25,3,3600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4,24,24,0.2,kaukasisk stjärnflocka
Flowering plant,Kejsarkrona,20,5,18,0.3,4,3600,60,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Mediterranean region"",""Subtropical regions""]","[""Late spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,kejsarkrona
Perennial Herb,Kinesisk Gräslök,20,5,15,0.3,3,18000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""Compost"",""Organic liquid fertilizer""]",4,24,12,0.5,kinesisk gräslök
Ornamental plant,Kinesisk smörboll,20,5,18,0.3,3,3000,70,"[""Loamy soil"",""Sandy soil"",""Well-drained soil""]","[""Temperate regions"",""Mild climates""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,24,12,2,kinesisk smörboll
Vegetable,Kirgislök,10,5,12,0.3,3,30000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Cool temperate regions"",""Mountainous areas""]","[""Spring"",""Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,1,kirgislök
Perennial,Klockagapanthus,25,5,20,0.4,3,6000,60,"[""Loam"",""Sandy loam"",""Clay""]","[""Tropical regions"",""Mediterranean climates""]","[""Year-round"",""Start of summer""]",40,40,50,72,"[""NPK fertilizer"",""Organic compost""]",8,36,12,2,klockagapanthus
Perennial Flower,Knippgentiana,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,24,12,0.5,knippgentiana
Flower,Knippnejlika,15 °C,5 mm,10 °C,0.3 m³/m³,3 mm/day,5000 seconds,70%,"[""Loam"",""Sandy soil"",""Well-drained soil""]","[""Europe"",""North America"",""Asia""]","[""Start of summer"",""Spring"",""Autumn""]",30 km/h,35 °C,20 mm,24,"[""NPK fertilizer"",""Organic compost""]",4,24 in,12 in,0.5 in,knippnejlika
Perennial Flowering Plant,Knölklocka,10-25,2-5,12-20,0.3-0.5,2-4,4-6,50-70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4-6,12,12,0.5,knölklocka
Flowering Plant,Knölvial,20,5,15,0.3,3,6000,50,"[""Loam"",""Sandy Loam""]","[""Temperate regions"",""Mild coastal areas""]","[""Spring"",""Summer""]",40,35,10,48,"[""NPK"",""Compost""]",4,24,12,2,knölvial
Legume,Kokböna,18,5,15,0.25,3,18000,60,"[""Loam"",""Clay"",""Silt""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Late spring"",""Summer""]",30,30,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,2,kokböna
Annual,Kokärt,20,5,15,0.3,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,10,48,"[""Nitrogen-based"",""Potassium-based""]",4,12,12,2,kokärt
Flower,Komettblomma,18°C,5mm,20°C,0.25 m³/m³,3mm/day,6 hours,50%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",20 km/h,35°C,20mm,48 hours,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4 weeks,24 in,12 in,0.5 in,komettblomma
Herb,Koreansk Mynta,20,5,18,0.4,3,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Sweden"",""Norway"",""Finland""]","[""Spring"",""Summer"",""Early Autumn""]",30,35,10,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,36,0.5,koreansk mynta
Herb,Koriander,20,5,15,0.3,3,24000,50,"[""Sandy loam"",""Loamy soil"",""Clay soil""]","[""Temperate regions"",""Mediterranean regions"",""Subtropical regions""]","[""Start summer"",""Autumn"",""Spring""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,30,12,1,koriander
Leafy vegetable,Korila,26,5,25,0.3,4,30000,60,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",30,35,50,48,"[""Organic compost"",""NPK fertilizers""]",4,12,12,0.5,korila
Crop,Korn,25 °C,5 mm,20 °C,0.3 m³/m³,4 mm/day,8 hours,60%,"[""Loam"",""Sandy Loam"",""Silt Loam""]","[""Midwest"",""Great Plains"",""Corn Belt""]","[""Spring"",""Summer""]",25 km/h,35 °C,50 mm,48 hours,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks,96 in,12 in,2 in,korn
Perennial,Kornell,20,5,18,0.4,3,30000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""Eastern United States""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,72,36,2,kornell
Flowering plant,Kornettblomma,20,5,18,0.3,3,6000,50,"[""Loam"",""Sandy loam"",""Clay""]","[""Temperate regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""All-purpose fertilizer"",""Organic compost""]",4,24,12,1,kornettblomma
Flowering plant,Kornvallmo,20,5,15,0.4,3,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,24,"[""NPK fertilizers"",""Organic compost""]",4,36,12,1,kornvallmo
Flowering plant,Kovall,25,5,20,0.3,3,600,70,"[""Loamy soil"",""Sandy soil""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,24,12,1,kovall
Flowering plant,Krollilja,20,3,18,0.2,2,6000,60,"[""loam"",""sandy loam"",""clay loam""]","[""temperate regions"",""subtropical regions""]","[""Spring"",""Summer""]",30,35,10,48,"[""nitrogen"",""phosphorus"",""potassium""]",4,36,12,2,krollilja
Vegetable,Kronärtkocka,20,5,15,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Late spring"",""Summer""]",40,30,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,kronärtkocka
Fruit,Krusbär,18,5,15,0.3,3,6000,70,"[""Sandy loam"",""Loamy soil"",""Clay soil""]","[""Temperate regions"",""Northern Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,36,24,2,krusbär
Herb,Kryddfenkol,15,5,10,0.4,2,3600,70,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",30,30,10,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,12,0.5,kryddfenkol
